                    ;              ;Nº Requisição     ;       ;                        ;                      ;           ;                                                                                                    ;        ;   ;  ;            ;               ;             ;                            ;                     ;                                   ;                                   ;Data Status     ;                                   ;Data Status     ;Duração;(Dia);   Valor Unitário;     ;      Qtde;     ;      Valor Total;   Valor Unitário;     ;      Qtde;     ;      Valor Total;      Qtde;     ;   Estoque;   Estoque;   Consumo;   Consumo;         ;         ;         ;         ;                              ;Dígito   ;                          ;                            ;          ;Data da   ;Prazo de  ;          ;                           ;          ;       ;         ;          ;                      ;              ;              ;Volume ;             ;                                 ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;                                                                                                                                                                                                                                                                                                         ;    ;                              
DGL310014AU         ;DGL310014AU   ;DGL310014AU       ;AU     ;DCN4-5304               ;DCN4-5304             ;000KK      ;ESPONJA, LAVAGEM                                                                                    ;        ;C  ;30;"""7920"""  ;FA0559344      ;Praça local  ;Material                    ;06/11/2018 13:15     ;Concluído Parcialmente             ;Recebida no Solicitante            ;11/07/2019 10:03;Recebida no Solicitante            ;11/07/2019 10:03;    247;  247;             0,67;R$   ;       180;EA   ;           120,60;             0,65;R$   ;       180;EA   ;           117,00;          ;EA   ;         0;         0;        12;       328;J        ;70       ;N2       ;SIM      ;                              ;         ;                          ;                            ;DIRINFRA  ;          ;          ;19/12/2018;1-Entrega Imediata         ;          ;M000001;18E1395  ;DG46$     ;                      ;              ;              ;       ;             ;                                 ;ESPONJA REF - DGL130053AU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;Conf sol emp nº 16/SEO/2018                                                                                                                                                                                                                                                                              ;    ;                              
BFL304030AU         ;BFL304030AU   ;BFL038001AU       ;AU     ;DCN3-4120-4-10          ;DCN4-4120-4-10        ;002FK      ;REPELENTE                                                                                           ;        ;C  ;30;"""6840"""  ;FA0943347      ;Praça local  ;Material                    ;31/10/2018 09:28     ;Concluído                          ;Recebida no Solicitante            ;02/05/2019 14:47;Recebida no Solicitante            ;02/05/2019 14:47;    183;  183;            19,13;R$   ;       120;EA   ;          2295,60;            18,93;R$   ;       120;EA   ;          2271,60;       120;EA   ;         0;         0;       499;      1101;J        ;70       ;N2       ;         ;                              ;         ;                          ;                            ;BAFL      ;          ;          ;15/04/2019;5-Prazo de Entrega 180 dias;          ;M000001;19E0119  ;BH53$     ;                      ;              ;              ;       ;             ;                                 ;REPELENTE DE MOSQUITO TIPO SPRAY, COM ALOE VERA, FRASCO COM 100ML REF - BFL038001AU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;SOLICITADO SMI4 - 31/10/2018.                                                                                                                                                                                                                                                                            ;    ;                              
"""30418000002965""";LSL295027A7   ;LSL295027A7       ;A7     ;DCN4-7046               ;DCN4-7046             ;002FK      ;COURVIN, COURO SINTETICO, COR VINHO,                                                                ;        ;C  ;30;"""8305"""  ;FA0318029      ;Praça local  ;Material                    ;22/10/2018 14:18     ;Concluído                          ;Empenho Aprovado                   ;05/10/2020 16:12;                                   ;                ;    714;  889;            20,77;R$   ;        40;MR   ;           830,64;           114,00;R$   ;        40;MR   ;          4560,00;        40;MR   ;         0;         0;        40;        40;J        ;70       ;E3       ;SIM      ;                              ;C18268   ;                          ;                            ;PAMALS    ;          ;          ;04/11/2020;3-Prazo de Entrega 60 dias ;          ;M000001;20E8385  ;DV88$     ;                      ;              ;              ;       ;             ;                                 ;COURVIN, COURO SINTETICO, COR VINHO,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;TPMTVDOS REQUISIÇÕES INSERIDAS A FIM DE ATENDER PTA 2018. REQUISIÇÕES ANTERIORES JÁ CONSIDERADAS.                                                                                                                                                                                                        ;    ;                              
"""30418000002964""";LSL295026A7   ;                  ;A7     ;DCN4-7038               ;DCN4-7038             ;002FK      ;LINHA, NYLON AMARRAÇÃO, MATERIAL: 100% POLIAMIDA, NR 60, COR VERDE ROLO 80G                         ;        ;C  ;30;"""8310"""  ;"""190050178""";CAE          ;Material                    ;22/10/2018 14:18     ;Cancelado                          ;Cancelada                          ;27/02/2020 14:12;                                   ;                ;    493;  493;            35,88;R$   ;        32;BB   ;          1148,00;            35,88;R$   ;        32;BB   ;          1148,00;          ;BB   ;         0;        34;         0;         0;J        ;70       ;E3       ;         ;                              ;C18268   ;                          ;                            ;PAMALS    ;          ;          ;          ;3-Prazo de Entrega 60 dias ;          ;       ;         ;          ;                      ;              ;              ;       ;             ;Material não mais Necessário     ;LINHA, NYLON AMARRAÇÃO, MATERIAL: 100% POLIAMIDA, NR 60, COR VERDE ROLO 80G                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;TPMTVDOS REQUISIÇÕES INSERIDAS A FIM DE ATENDER PTA 2018. REQUISIÇÕES ANTERIORES JÁ CONSIDERADAS.                                                                                                                                                                                                        ;    ;                              
"""30418000002963""";LSL295008A7   ;LSL295008A7       ;A7     ;DCN4-7056               ;DCN4-7056             ;002FK      ;ESPUMA DE POLIESTER EXPANDIDO, ESPESSURA 50MM,, LARG 1,20M, FORNECIMENTO METRO LINEAR               ;        ;C  ;30;"""9320"""  ;"""190050194""";Praça local  ;Material                    ;22/10/2018 12:10     ;Concluído                          ;Empenho Aprovado                   ;29/10/2020 15:20;                                   ;                ;    738;  889;           126,78;R$   ;        37;MR   ;          4690,68;           192,00;R$   ;        37;MR   ;          7104,00;        37;MR   ;         0;         1;        36;        36;J        ;70       ;E3       ;SIM      ;                              ;C18268   ;                          ;                            ;PAMALS    ;          ;          ;28/11/2020;3-Prazo de Entrega 60 dias ;          ;M000001;20E9846  ;DV88$     ;                      ;              ;              ;       ;             ;                                 ;ESPUMA DE POLIESTER EXPANDIDO, ESPESSURA 50MM,, LARG 1,20M, FORNECIMENTO METRO LINEAR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;TPMTVDOS REQUISIÇÕES INSERIDAS A FIM DE ATENDER PTA 2018. REQUISIÇÕES ANTERIORES JÁ CONSIDERADAS.                                                                                                                                                                                                        ;    ;                              
"""30418000002815""";LSL283034GP   ;                  ;GP     ;DCN2-11066              ;DCN2-11066            ;002FK      ;RODIZIO GIRATORIO                                                                                   ;        ;C  ;30;"""2630"""  ;FA0985627      ;CAE          ;Material                    ;10/10/2018 08:33     ;Cancelado                          ;Cancelada                          ;27/02/2020 14:12;                                   ;                ;    505;  505;           583,46;R$   ;         2;EA   ;          1166,91;           583,46;R$   ;         2;EA   ;          1166,91;          ;EA   ;         0;         0;         0;         0;J        ;70       ;E3       ;         ;                              ;C18290   ;                          ;                            ;PAMALS    ;          ;          ;          ;3-Prazo de Entrega 60 dias ;          ;       ;         ;          ;                      ;              ;              ;       ;             ;Material não mais Necessário     ;RODIZIO GIRATORIO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;TPMTVDOS REQUISIÇÃO INSERIDA A FIM DE ATENDER PTA CONFORME SOLICITAÇÃO POR EMAIL DO DIA 27/09/2018                                                                                                                                                                                                       ;    ;                              
QXL281047AU         ;QXL281047AU   ;QXK165044AU       ;AU     ;DCN3-4120-4-10          ;DCN4-4120-4-10        ;002FK      ;REPELENTE                                                                                           ;        ;C  ;30;"""6840"""  ;FA0943347      ;Praça local  ;Material                    ;08/10/2018 14:44     ;Concluído                          ;Recebida no Solicitante            ;03/04/2019 10:12;Recebida no Solicitante            ;03/04/2019 10:12;    177;  177;            12,17;R$   ;       345;VI   ;          4198,65;             9,46;R$   ;       345;VI   ;          3263,70;       345;EA   ;         0;         0;       499;      1101;J        ;70       ;N2       ;         ;                              ;         ;                          ;                            ;GAP-CT    ;          ;          ;10/11/2018;5-Prazo de Entrega 180 dias;          ;M000001;18E1832  ;DE75$     ;                      ;              ;              ;       ;             ;                                 ;044 - CATMAT 0435543 - REPELENTE DE INSETOS, REPELÊNCIA MÍNIMA DE 4 HORAS CONTRA AEDES AEGYPTI, USO TÓPICO, FRASCO 120 ML REF - QXK165044AU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;                                                                                                                                                                                                                                                                                                         ;    ;                              
"""30418000002751""";LSL281083UR   ;                  ;UR     ;DCN4-3872               ;DCN4-3872             ;002FK      ;ABRAÇADEIRA                                                                                         ;        ;C  ;30;"""5340"""  ;FA1018233      ;CAE          ;Material                    ;08/10/2018 14:55     ;Cancelado                          ;Cancelada                          ;27/02/2020 14:12;                                   ;                ;    507;  507;             0,28;R$   ;       300;EA   ;            84,90;             0,28;R$   ;       300;EA   ;            84,90;          ;EA   ;         0;         0;         0;         0;J        ;70       ;E3       ;         ;                              ;C18301   ;                          ;                            ;PAMALS    ;          ;          ;          ;3-Prazo de Entrega 60 dias ;          ;       ;         ;          ;                      ;              ;              ;       ;             ;Material não mais Necessário     ;ABRAÇADEIRA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;TPMTVDOS REQUISIÇÃO INSERIDA A FIM DE ATENDER PTA CONFORME SOLICITAÇÃO POR EMAIL DO DIA 27/09/2018. REQ ANTERIORES JÁ CONSIDERADAS.                                                                                                                                                                      ;    ;                              
QVL276210AU         ;QVL276210AU   ;QVK194098AU       ;AU     ;DCN3-4120-4-3FACAO      ;                      ;002FK      ;FACAO                                                                                               ;        ;C  ;30;"""1095"""  ;FA0030643      ;Praça local  ;Material                    ;03/10/2018 16:14     ;Concluído                          ;Recebida no Solicitante            ;11/09/2019 09:48;Recebida no Solicitante            ;11/09/2019 09:48;    343;  343;            32,75;R$   ;         3;EA   ;            98,25;            17,00;R$   ;         3;EA   ;            51,00;         3;EA   ;         0;         0;        36;        30;J        ;70       ;N2       ;SIM      ;                              ;         ;                          ;                            ;BACG      ;          ;          ;10/10/2018;1-Entrega Imediata         ;          ;M000001;18E0809  ;CU29$     ;                      ;              ;              ;       ;             ;                                 ;FACÃO 40cm EM AÇO REF - QVK194098AU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;Aquisição de material de consumo para estoque da DPNR do GAP-CG.                                                                                                                                                                                                                                         ;    ;                              
DGL275019AU         ;DGL275019AU   ;DGL275019AU       ;DG     ;DCN4-5304               ;DCN4-5304             ;000KK      ;ESPONJA, LAVAGEM                                                                                    ;        ;C  ;30;"""7920"""  ;FA0559344      ;Praça local  ;Material                    ;02/10/2018 17:39     ;Concluído Parcialmente             ;Recebida no Solicitante            ;05/08/2019 12:04;Recebida no Solicitante            ;05/08/2019 12:04;    307;  307;             0,67;R$   ;        20;EA   ;            13,40;             0,65;R$   ;        20;EA   ;            13,00;          ;EA   ;         0;         0;        63;        63;J        ;70       ;N2       ;SIM      ;                              ;         ;                          ;                            ;DIRINFRA  ;          ;          ;02/11/2018;1-Entrega Imediata         ;          ;M000001;18E3334  ;DG46$     ;                      ;              ;              ;       ;             ;                                 ;ESPONJA REF - DGL130053AU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;CONF MSG INT 756/SEO RJ, 28/09/2018                                                                                                                                                                                                                                                                      ;    ;                              
"""30418000002649""";LSL264001T9   ;                  ;T9     ;DCN4-10981              ;DCN4-10981            ;002FK      ;ARRUELA PLANA                                                                                       ;        ;C  ;30;"""5310"""  ;FA0699187      ;CAE          ;Material                    ;21/09/2018 16:04     ;Cancelado                          ;Cancelada                          ;27/02/2020 14:22;                                   ;                ;    524;  524;           759,33;R$   ;        63;EA   ;         47837,54;           759,33;R$   ;        63;EA   ;         47837,54;          ;EA   ;         0;         0;         4;         5;J        ;70       ;E3       ;         ;                              ;C18276   ;                          ;                            ;PAMALS    ;          ;          ;          ;3-Prazo de Entrega 60 dias ;          ;       ;         ;          ;                      ;              ;              ;       ;             ;Item não Encontrado              ;ARRUELA PLANA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;TPMTELS - ATD PNOR 374180026581 INFOMO AINDA QUE A REQUISIÇÃO LSL164001T9 FOI LEVADA EM CONSIDERAÇÃO.                                                                                                                                                                                                    ;    ;                              
QXL255013AU         ;QXL255013AU   ;QXK303012AU       ;AU     ;DCN3-3495               ;DCN3-3495             ;002FK      ;TRAVA                                                                                               ;        ;C  ;30;"""2915"""  ;FA0698004      ;Praça local  ;Material                    ;12/09/2018 13:52     ;Concluído Parcialmente             ;Recebida no Solicitante            ;23/11/2018 11:03;                                   ;                ;     72;   72;            11,27;R$   ;         5;EA   ;            56,35;             9,69;R$   ;         5;EA   ;            48,45;          ;EA   ;         0;         0;         0;         0;J        ;70       ;N2       ;         ;                              ;         ;                          ;                            ;GAP-CT    ;          ;          ;12/10/2018;5-Prazo de Entrega 180 dias;          ;M000001;18E1580  ;CU11$     ;                      ;              ;              ;       ;             ;                                 ;012 - CATMAT 0058491 - ACESSORIO DE PORTA, ACESSORIO DE PORTADA, ATEDOR PARA PORTA PARA FIXAÇÃO NO PISO, MODELO BOLA. REF - QXK303012AU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;                                                                                                                                                                                                                                                                                                         ;    ;                              
QXL253093AU         ;QXL253093AU   ;QXK164228AU       ;AU     ;DCN4-9102               ;DCN4-9102             ;002FK      ;PE DE CABRA                                                                                         ;        ;C  ;30;"""5120"""  ;FA0046957      ;Praça local  ;Material                    ;10/09/2018 14:25     ;Concluído                          ;Recebida no Solicitante            ;21/01/2019 15:55;                                   ;                ;    133;  133;            28,44;R$   ;         8;EA   ;           227,52;            11,89;R$   ;         8;EA   ;            95,12;         8;EA   ;         0;         0;        16;        12;J        ;70       ;N2       ;         ;                              ;         ;                          ;                            ;GAP-CT    ;          ;          ;10/10/2018;5-Prazo de Entrega 180 dias;          ;M000001;18E1553  ;04F1K     ;                      ;              ;              ;       ;             ;                                 ;097 - CATMAT 0008435 - PE - DE - CABRA ( FERRAMENTA ), PE - DE - CABRA ( FERRAMENTA ) - PÉ DE CABRA EM AÇO FORJADO 3/4 POL X 60CM REF - QXK164228AU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                                                                         ;    ;                              
QXL253091AU         ;QXL253091AU   ;QXK164226AU       ;AU     ;DCN2-4120-3-10          ;DCN3-4120-3-10        ;002FK      ;PÁ                                                                                                  ;        ;C  ;30;"""5110"""  ;FA1020221      ;Praça local  ;Material                    ;10/09/2018 14:24     ;Concluído                          ;Recebida no Solicitante            ;28/11/2018 11:22;                                   ;                ;     79;   79;            21,16;R$   ;         7;EA   ;           148,12;            20,21;R$   ;         7;EA   ;           141,47;         7;EA   ;         0;         0;        16;         6;J        ;70       ;N2       ;         ;                              ;         ;                          ;                            ;GAP-CT    ;          ;          ;10/10/2018;5-Prazo de Entrega 180 dias;          ;M000001;18E1557  ;04F3K     ;                      ;              ;              ;       ;             ;                                 ;095 - CATMAT 0345375 - PÁ, MADEIRA, MANUTENÇÃO PREDIAL, AÇO FORJADO, DE BICO, 270 X 320 MM, 1 M, OLHO COM DIÂMETRO DE 34 MM REF - QXK164226AU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                                                                         ;    ;                              
